IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
OCA,Ocean Reef Club Airport,Key Largo,Florida,US,25.32432,-80.27573
CYT,Yakataga Airport,Yakataga,Alaska,US,60.08085,-142.49549
FWL,Farewell Airport,Farewell,Alaska,US,62.50918,-153.89063
CSE,Crested Butte Airpark,Crested Butte,Colorado,US,38.85194,-106.93282
CUS,Columbus Municipal Airport,Columbus,New Mexico,US,31.82371,-107.62697
JCY,Lbj Ranch Airport,Johnson City,Texas,US,30.25181,-98.62253
ICY,Icy Bay Airport,Icy Bay,Alaska,US,59.96902,-141.66177
HGZ,Hog River Airport,Hogatza,Alaska,US,66.17613,-155.68482
GWV,Fokker Field,Bush,Louisiana,US,30.59317,-89.87348
BZT,Eagle Air Park,Brazoria,Texas,US,28.98219,-95.57967
BYW,Blakely Island Airport,Blakely Island,Washington,US,48.57899,-122.82629
DRF,Drift River Airport,Kenai,Alaska,US,60.58887,-152.16198
BDF,Rinkenberger Airport,Bradford,Illinois,US,41.23087,-89.61565
CTO,Calverton Executive Airpark,Calverton,New York,US,40.9,-72.8
RFK,Rollang Field,Rolling Fork,Mississippi,US,32.95429,-90.84593
BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US,29.86604,-90.02229
CWS,Center Island Airport,Center Island,Washington,US,48.4901,-122.83212
DUF,Pine Island Airport,Corolla,North Carolina,US,36.2535,-75.78852
SSW,Stuart Island Airpark,Stuart Island,Washington,US,48.67288,-123.17575
FOB,Fort Bragg Airport,Fort Bragg,California,US,39.47433,-123.79557
MHN,Hooker County Airport,Mullen,Nebraska,US,42.04216,-101.05966
AXB,Maxson Airfield,Alexandria Bay,New York,US,44.31672,-75.89967
REE,Reese Airpark,Lubbock,Texas,US,33.59476,-102.04342
AFT,Afutara Aerodrome,Bila,Malaita,SB,-9.19139,160.94861
RNA,Ulawa Airport,Arona,,SB,-9.86054,161.97955
ATD,Uru Harbour Airport,Atoifi,,SB,-8.87333,161.011
VEV,Barakoma Airport,Barakoma,,SB,-7.91278,156.70599
BPF,Batuna Aerodrome,Batuna Mission Station,Western Province,SB,-8.56203,158.11931
GEF,Geva Airport,Liangia,,SB,-7.57583,156.597
AKS,Auki Airport,Auki,,SB,-8.70257,160.68201
BNY,Bellona/Anua Airport,Anua,,SB,-11.30222,159.79833
CHY,Choiseul Bay Airport,,Choiseul,SB,-6.71194,156.39611
BAS,Ballalae Airport,Ballalae,,SB,-6.99075,155.88666
FRE,Fera/Maringe Airport,Fera Island,Isabel,SB,-8.1075,159.577
HIR,Honiara International Airport,Honiara,Guadalcanal,SB,-9.428,160.05499
MBU,Babanakira Airport,Mbambanakira,Guadalcanal,SB,-9.7475,159.839
AVU,Avu Avu Airport,,Guadalcanal,SB,-9.86833,160.41056
IRA,Ngorangora Airport,Kirakira,,SB,-10.4497,161.89799
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,SB,-10.7203,165.795
MUA,Munda Airport,,,SB,-8.32797,157.263
GZO,Nusatupe Airport,Gizo,,SB,-8.09778,156.864
MNY,Mono Airport,Stirling Island,,SB,-7.41694,155.565
PRS,Parasi Airport,Parasi,,SB,-9.64167,161.425
RNL,Rennell/Tingoa Airport,Rennell Island,Rennell and Bellona,SB,-11.5339,160.063
EGM,Sege Airport,Sege,,SB,-8.57889,157.87601
NNB,Santa Ana Airport,Santa Ana Island,,SB,-10.84799,162.45411
RUS,Marau Airport,Marau,,SB,-9.86167,160.825
VAO,Suavanao Airport,Suavanao,,SB,-7.58556,158.731
XYA,Yandina Airport,Yandina,,SB,-9.09282,159.21841
KGE,Kagau Island Airport,Kagau Island,,SB,-7.333,157.58299
GTA,Gatokae Airport,Gatokae,,SB,-8.73917,158.20306
RIN,Ringi Cove Airport,Ringi Cove,,SB,-8.12639,157.14301
RBV,Ramata Airport,Ramata,,SB,-8.16806,157.64301
CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US,65.05183,-146.04743
SOL,Solomon State Field,Solomon,Alaska,US,64.56064,-164.44233
HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US,55.80139,-160.89925
TWE,Taylor Airport,Taylor,Alaska,US,65.67928,-164.79881
LNI,Lonely Air Station,Lonely,Alaska,US,70.91075,-153.24221
CDL,Candle 2 Airport,Candle,Alaska,US,65.90766,-161.92631
BSW,Boswell Bay Airport,Boswell Bay,Alaska,US,60.42306,-146.14591
INU,Nauru International Airport,Yaren District,Yaren,NR,-0.54746,166.91901
AFR,Afore Airstrip,Afore,Oro Province,PG,-9.14222,148.39083
ATP,Aitape Airport,Aitape,Sandaun,PG,-3.14361,142.34681
AMU,Amanab Airport,Amanab,Sandaun,PG,-3.586,141.21433
ADC,Andakombe Airport,Andekombe,Gulf,PG,-7.13722,145.74472
AIE,Aiome Airport,Aiome,Madang,PG,-5.1457,144.7307
KPM,Kompiam Airport,,Enga,PG,-5.38167,143.92472
AUJ,Ambunti Airport,Ambunti,East Sepik,PG,-4.21567,142.82317
AWB,Awaba Airport,Awaba,Western Province,PG,-8.00611,142.74835
AYU,Aiyura Airport,Aiyura Valley,Eastern Highlands,PG,-6.33806,145.90417
VMU,Baimuru Airport,Baimuru,Gulf,PG,-7.49686,144.8199
BDZ,Baindoung Airport,,Morobe,PG,-6.34722,146.94222
BUA,Buka Airport,Buka Island,Bougainville,PG,-5.42232,154.673
BAA,Bialla Airport,Bialla,West New Britain,PG,-5.329445,151.006128
OPU,Balimo Airport,Balimo,Western Province,PG,-8.05,142.933
BUL,Bulolo Airport,Bulolo,Morobe,PG,-7.21629,146.64954
CGC,Cape Gloucester Airport,Cape Gloucester,West New Britain,PG,-5.455122,148.423082
CMU,Chimbu Airport,Kundiawa,Chimbu,PG,-6.02429,144.97099
DAO,Dahamo Airstrip,Dabo,Western,PG,-5.753194,141.993611
DBP,Debepare Airport,Debepare,Western,PG,-6.308611,141.905556
DER,Derim Airport,Derim,Morobe,PG,-6.14472,147.10722
DAU,Daru Airport,Daru,Western Province,PG,-9.08676,143.20799
XYR,Edwaki Airport,Yellow River Mission,Sandaun,PG,-3.88399,141.79223
FNE,Fane Airport,Fane Mission,Central Province,PG,-8.54928,147.08583
FIN,Finschhafen Airport,Buki,Morobe,PG,-6.62175,147.85405
FAQ,Frieda River Airport,Frieda River,East Sepik,PG,-4.61047,141.96014
GKA,Goroka Airport,Goronka,Eastern Highlands,PG,-6.08169,145.392
GRL,Garasa Airport,Au,Morobe,PG,-7.98071,147.21346
GAR,Garaina Airport,Garaina,Morobe,PG,-7.87563,147.14127
GUR,Gurney Airport,Gurney,Milne Bay,PG,-10.3115,150.334
GAP,Gusap Airport,Gusap,Morobe,PG,-6.0532,145.95905
PNP,Girua Airport,Popondetta,Northern Province,PG,-8.80454,148.30901
GMI,Gasmata Island Airport,Gasmata Island,West New Britain,PG,-6.27111,150.33099
GVI,Green River Airport,Green River,Sandaun,PG,-3.90224,141.17052
HKN,Kimbe Airport,Hoskins,West New Britain,PG,-5.46217,150.405
KIE,Aropa Airport,Kieta,Bougainville Island,PG,-6.305,155.72778
LSA,Losuia Airport,Losuia,Milne Bay,PG,-8.50582,151.08099
KBM,Kabwum,,Morobe,PG,-6.15547,147.19147
KDR,Kandrian Airport,Kandrian,West New Britain,PG,-6.2659,149.5581
UNG,Kiunga Airport,Kiunga,Western Province,PG,-6.12571,141.282
KRI,Kikori Airport,Kikori,Gulf,PG,-7.42438,144.25008
KMA,Kerema Airport,Kerema,Gulf,PG,-7.96361,145.771
KKD,Kokoda Airport,Kokoda,Northern Province,PG,-8.88468,147.73096
KZF,Kaintiba Airport,Kaintiba,Gulf,PG,-7.50025,146.03383
KUQ,Kuri Airport,Kuri,Gulf,PG,-7.13508,143.27611
KVG,Kavieng Airport,Kavieng,New Ireland,PG,-2.5794,150.808
KWO,Kawito Airport,Kawito,Western Province,PG,-7.97701,142.82358
LNV,Londolovit Airport,Londolovit,New Ireland,PG,-3.04361,152.629
LMY,Lake Murray Airport,Lake Murray,Western Province,PG,-7.00992,141.494
LWI,Lowai Airstrip,Lowai,Morobe Province,PG,-6.3344,146.6458
LMI,Lumi Airport,Lumi,Sandaun,PG,-3.47684,142.04129
MYX,Menyamya Airport,Menyamya,Morobe,PG,-7.21167,146.01936
MAG,Madang Airport,Madang,Madang,PG,-5.20708,145.789
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Western Highlands,PG,-5.82679,144.29601
MXK,Mindik Airport,Mindik,Morobe,PG,-6.47167,147.44114
GUV,Mougulu Airport,Mougulu,Western Province,PG,-6.28086,142.42077
MDU,Mendi Airport,,Southern Highlands,PG,-6.14774,143.657
MAS,Momote Airport,,Manus,PG,-2.06189,147.424
MXH,Moro Airport,Moro,Southern Highlands,PG,-6.36333,143.23801
MIS,Misima Island Airport,Misima Island,Milne Bay,PG,-10.6892,152.838
GBF,Negarbo(Negabo) Airport,Negarbo,Chimbu,PG,-6.56778,144.70306
MFO,Manguna Airport,Manguna,East New Britain,PG,-5.57778,151.79233
UKU,Nuku Airport,Nuku,Sandaun,PG,-3.67665,142.48433
LAE,Lae Nadzab Airport,Nadzab,Morobe,PG,-6.56983,146.726
OGE,Ogeranang Airport,,Morobe,PG,-6.46675,147.36417
OSE,Omora Airport,Omora,Morobe,PG,-7.82778,147.08064
PDI,Pindiu Airport,Pindiu,Morobe,PG,-6.44514,147.51583
POM,Port Moresby Jacksons International Airport,Port Moresby,National Capital,PG,-9.44338,147.22
KRJ,Karawari Airstrip,,East Sepik,PG,-4.59667,143.5225
RMN,Rumginae Airport,,Western Province,PG,-5.89722,141.27167
KMR,Karimui Airport,Karimui,Chimbu,PG,-6.4921,144.823
SBE,Suabi Airport,,Western Province,PG,-6.10444,142.27833
NIS,Simberi Airport,Simberi Island,New Ireland,PG,-2.66222,151.99778
SIL,Sila Airport,Sila Mission,Northern Province,PG,-9.07356,148.38925
SIM,Simbai Airport,Simbai,Western Highlands,PG,-5.27861,144.54472
TDS,Sasereme Airport,Sasereme,Western Province,PG,-7.622778,142.868889
SKC,Suki Airport,Suki,Western Province,PG,-8.0466,141.7222
TIZ,Tari Airport,Tari,Southern Highlands,PG,-5.845,142.948
TBG,Tabubil Airport,Tabubil,Western Province,PG,-5.27861,141.226
TFM,Telefomin Airport,Telefomin,Western Province,PG,-5.12608,141.64192
TPI,Tapini Airport,Tapini,Central Province,PG,-8.35667,146.98917
TAJ,Tadji Airport,Aitape,Sandaun,PG,-3.19819,142.43096
RAB,Tokua Airport,Tokua,East New Britain,PG,-4.34046,152.38
TKW,Tekin Airport,Tekin,Sandaun,PG,-5.24367,142.16519
TFI,Tufi Airport,Tufi,Northern Province,PG,-9.07595,149.31984
VAI,Vanimo Airport,,Sandaun,PG,-2.69717,141.302
WAO,Wabo Airport,Wabo,Gulf,PG,-6.98944,145.07511
WBM,Wapenamanda Airport,,Enga,PG,-5.6433,143.895
AGL,Wanigela Airport,,Northern Province,PG,-9.3375,149.15556
WWK,Wewak International Airport,Wewak,East Sepik,PG,-3.58383,143.66901
WOA,Wonenara Airport,Wonenara,Eastern Highlands,PG,-6.79686,145.89194
WSU,Wasu Airport,Wasu,Morobe,PG,-5.96171,147.19823
WTP,Woitape Airport,Fatima Mission,Central Province,PG,-8.54583,147.2525
WUG,Wau Airport,Wau,Morobe,PG,-7.34556,146.71861
JEG,Aasiaat Airport,Aasiaat,Qaasuitsup,GL,68.7218,-52.7847
UAK,Narsarsuaq Airport,Narsarsuaq,Kujalleq,GL,61.1605,-45.426
CNP,Neerlerit Inaat Airport,Neerlerit Inaat,Sermersooq,GL,70.7431,-22.6505
GOH,Nuuk Airport,Nuuk,Sermersooq,GL,64.191,-51.678
JAV,Ilulissat Airport,Ilulissat,Avannaata,GL,69.2432,-51.0571
KUS,Kulusuk Airport,Kulusuk,Sermersooq,GL,65.5736,-37.1236
JSU,Maniitsoq Airport,Maniitsoq,Qeqqata,GL,65.4125,-52.9394
JFR,Paamiut Airport,Paamiut,Sermersooq,GL,62.01474,-49.67094
NAQ,Qaanaaq Airport,Qaanaaq,Avannaata,GL,77.4886,-69.3887
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Qeqqata,GL,67.01222,-50.7116
JHS,Sisimiut Airport,Sisimiut,Qeqqata,GL,66.9513,-53.7293
THU,Thule Air Base,Thule,Qaasuitsup,GL,76.5312,-68.7032
JUV,Upernavik Airport,Upernavik,Avannaata,GL,72.7902,-56.1306
JQA,Qaarsut Airport,Uummannaq,Avannaata,GL,70.7342,-52.6962
AEY,Akureyri Airport,Akureyri,Northeast,IS,65.66,-18.0727
BIU,Bíldudalur Airport,Bíldudalur,Westfjords,IS,65.6413,-23.5462
BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,East,IS,65.5164,-13.805
BJD,Bakkafjordur Airport,Bakkafjordur,Northeast,IS,66.0219,-14.8244
BLO,Hjaltabakki Airport,Blönduós,Northwest,IS,65.645,-20.2875
BXV,Breiðdalsvík Airport,Breiðdalsvík,East,IS,64.79,-14.0228
DJU,Djúpivogur Airport,Djúpivogur,East,IS,64.6442,-14.2828
EGS,Egilsstaðir Airport,Egilsstaðir,East,IS,65.2833,-14.4014
FAG,Fagurhólsmýri Airport,Fagurhólsmýri,East,IS,63.8747,-16.6411
GUU,Grundarfjörður Airport,Grundarfjörður,West,IS,64.9914,-23.2247
GJR,Gjögur Airport,Gjögur,Westfjords,IS,65.9953,-21.3269
GRY,Grímsey Airport,Grímsey,Northeast,IS,66.5458,-18.0173
HVK,Hólmavík Airport,Hólmavík,Westfjords,IS,65.7047,-21.6964
HFN,Hornafjörðu Airport,Höfn,East,IS,64.2956,-15.2272
FLI,Holt Airport,Flateyri,Westfjords,IS,66.01418,-23.44169
HZK,Húsavík Airport,Húsavík,Northeast,IS,65.9523,-17.426
IFJ,Ísafjörður Airport,Ísafjörður,Westfjords,IS,66.0581,-23.1353
KEF,Keflavik International Airport,Reykjavik,Southern Peninsula,IS,63.985,-22.6056
OPA,Kópasker Airport,Kópasker,Northeast,IS,66.3108,-16.4667
SAK,Sauðárkrókur Airport,Sauðárkrókur,Northwest,IS,65.7317,-19.5728
NOR,Norðfjörður Airport,Norðfjörður,East,IS,65.1319,-13.7464
OFJ,Ólafsfjörður Airport,Ólafsfjörður,Northeast,IS,66.0833,-18.6667
RHA,Reykholar Airport,Reykholar,Westfjords,IS,65.45263,-22.20612
OLI,Rif Airport,Rif,West,IS,64.9114,-23.8231
RFN,Raufarhöfn Airport,Raufarhöfn,Northeast,IS,66.4064,-15.9183
RKV,Reykjavik Airport,Reykjavik,Capital Region,IS,64.13,-21.9406
MVA,Mývatn Airport,Reykjahlíð,Northeast,IS,65.6558,-16.9181
SIJ,Siglufjörður Airport,Siglufjörður,Northeast,IS,66.1333,-18.9167
SYK,Stykkishólmur Airport,Stykkishólmur,West,IS,65.0581,-22.7942
TEY,Þingeyri (Thingeyri) Airport,Þingeyri,Westfjords,IS,65.8703,-23.56
THO,Þórshöfn (Thorshofn) Airport,Þórshöfn,Northeast,IS,66.2185,-15.3356
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,South,IS,63.4243,-20.2789
VPN,Vopnafjörður Airport,Vopnafjörður,East,IS,65.7206,-14.8506
PRN,Pristina International Airport,Lipjan,Pristina,XK,42.57283,21.03583
SRF,San Rafael Airport,San Rafael,California,US,38.01687,-122.52081
PYS,Paradise Skypark Airport,Paradise,California,US,39.71056,-121.6165
YZZ,Trail Airport,Trail,British Columbia,CA,49.0556,-117.609
YMB,Merritt Airport,Merritt,British Columbia,CA,50.1228,-120.747
YCA,Courtenay Airpark,Courtenay,British Columbia,CA,49.6794,-124.982
CFQ,Art Sutcliffe Field,Creston,British Columbia,CA,49.0369,-116.498
YAA,Anahim Lake Airport,Anahim Lake,British Columbia,CA,52.4525,-125.303
DGF,Douglas Lake Airport,Douglas Lake,British Columbia,CA,50.16546,-120.17127
JHL,Fort MacKay/Albian Aerodrome,Albian Village,Alberta,CA,57.2239,-111.419
DUQ,Duncan Airport,Duncan,British Columbia,CA,48.75453,-123.7097
YHS,Sechelt-Gibsons Airport,Sechelt-Gibsons,British Columbia,CA,49.4606,-123.719
YAD,Moose Lake (Lodge) Airport,Moose Lake,British Columbia,CA,53.0733,-125.409
XQU,Qualicum Beach Airport,Qualicum Beach,British Columbia,CA,49.3372,-124.394
ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,British Columbia,CA,52.185,-128.157
YTX,Telegraph Creek Airport,Telegraph Creek,British Columbia,CA,57.9167,-131.117
YPB,Port Alberni Airport,Port Alberni,British Columbia,CA,49.3219,-124.931
YBO,Bob Quinn Lake Airport,Bob Quinn Lake,British Columbia,CA,56.9667,-130.25
YWM,Williams Harbour Airport,Williams Harbour,Newfoundland and Labrador,CA,52.5669,-55.7847
YSO,Postville Airport,Postville,Newfoundland and Labrador,CA,54.9106,-59.7867
YBI,Black Tickle Airport,Black Tickle,Newfoundland and Labrador,CA,53.4694,-55.785
YHG,Charlottetown Airport,Charlottetown,Newfoundland and Labrador,CA,52.765,-56.1156
YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,Newfoundland and Labrador,CA,52.3728,-55.6739
YHA,Port Hope Simpson Airport,Port Hope Simpson,Newfoundland and Labrador,CA,52.5281,-56.2861
YRG,Rigolet Airport,Rigolet,Newfoundland and Labrador,CA,54.1797,-58.4575
DVK,Diavik Airport,Diavik,Northwest Territories,CA,64.5114,-110.289
YCK,Colville Lake Airport,Colville Lake,Northwest Territories,CA,67.0333,-126.083
ZFW,Fairview Airport,Fairview,Alberta,CA,56.0814,-118.435
YJP,Hinton / Jasper-Hinton Airport,Hinton,Alberta,CA,53.3192,-117.753
YLE,Whati Airport,Whati,Northwest Territories,CA,63.1317,-117.246
YGC,Grande Cache Airport,Grande Cache,Alberta,CA,53.9169,-118.874
YDC,Drayton Valley Industrial Airport,Drayton Valley,Alberta,CA,53.2658,-114.96
NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,Alberta,CA,57.0556,-111.574
XMP,Macmillan Pass Airport,Macmillan Pass,Yukon,CA,63.1811,-130.202
DAS,Great Bear Lake Airport,Great Bear Lake,Northwest Territories,CA,66.7031,-119.707
YFI,Fort Mackay / Firebag,Suncor Energy Site,Alberta,CA,57.27583,-110.97667
YOE,Donnelly Airport,Donnelly,Alberta,CA,55.7094,-117.094
YDJ,Hatchet Lake Airport,Hatchet Lake,Saskatchewan,CA,58.6625,-103.538
YDU,Kasba Lake Airport,Kasba Lake,Northwest Territories,CA,60.2919,-102.502
XCL,Cluff Lake Airport,Cluff Lake,Saskatchewan,CA,58.3911,-109.516
YKE,Knee Lake Airport,Knee Lake,Manitoba,CA,54.9153,-94.7981
SUR,Summer Beaver Airport,Summer Beaver,Ontario,CA,52.7086,-88.5419
YTT,Tisdale Airport,Tisdale,Saskatchewan,CA,52.8367,-104.067
YAX,Wapekeka Airport,Angling Lake,Ontario,CA,53.8492,-89.5794
WNN,Wunnumin Lake Airport,Wunnumin Lake,Ontario,CA,52.8939,-89.2892
YNO,North Spirit Lake Airport,North Spirit Lake,Ontario,CA,52.49,-92.9711
YDW,North of Sixty Airport,Obre Lake,Northwest Territories,CA,60.3164,-103.129
XBE,Bearskin Lake Airport,Bearskin Lake,Ontario,CA,53.9656,-91.0272
YNP,Natuashish Airport,Natuashish,Newfoundland and Labrador,CA,55.9139,-61.1844
YPD,Parry Sound Area Municipal Airport,Parry Sound,Ontario,CA,45.2575,-79.8297
XBR,Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,Ontario,CA,44.6394,-75.7503
KIF,Kingfisher Lake Airport,Kingfisher Lake,Ontario,CA,53.0125,-89.8553
YKD,Kincardine Airport,Kincardine,Ontario,CA,44.2014,-81.6067
YOG,Ogoki Post Airport,Ogoki Post,Ontario,CA,51.6586,-85.9017
YEB,Bar River Airport,Bar River,Ontario,CA,46.4203,-84.0922
YHP,Poplar Hill Airport,Poplar Hill,Ontario,CA,52.1133,-94.2556
YSA,Sable Island Landing Strip,Sable Island,Nova Scotia,CA,43.93035,-59.95977
YLS,Lebel-sur-Quevillon Airport,Lebel-sur-Quevillon,Quebec,CA,49.0303,-77.0172
YNX,Snap Lake Airport,Snap Lake,Northwest Territories,CA,63.5936,-110.906
YKU,Chisasibi Airport,Chisasibi,Quebec,CA,53.8056,-78.9169
ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,Quebec,CA,50.6744,-59.3836
YAU,Donaldson Airport,Kattiniq,Quebec,CA,61.6622,-73.3214
YFG,Fontanges Airport,Fontanges,Quebec,CA,54.5539,-71.1733
ZLT,La Tabatiere Airport,La Tabatiere,Quebec,CA,50.8308,-58.9756
YAB,Arctic Bay Airport,,Nunavut,CA,73.00577,-85.04251
YAC,Cat Lake Airport,Cat Lake,Ontario,CA,51.7272,-91.8244
YAR,La Grande-3 Airport,La Grande-3,Quebec,CA,53.5717,-76.1964
YAG,Fort Frances Municipal Airport,Fort Frances,Ontario,CA,48.6542,-93.4397
YAH,La Grande-4 Airport,La Grande-4,Quebec,CA,53.7547,-73.6753
YAL,Alert Bay Airport,Alert Bay,British Columbia,CA,50.5822,-126.916
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Ontario,CA,46.485,-84.5094
XKS,Kasabonika Airport,Kasabonika,Ontario,CA,53.5247,-88.6428
YKG,Kangirsuk Airport,Kangirsuk,Quebec,CA,60.0272,-69.9992
YAT,Attawapiskat Airport,Attawapiskat,Ontario,CA,52.9275,-82.4319
YAY,St. Anthony Airport,St. Anthony,Newfoundland and Labrador,CA,51.3919,-56.0831
YAZ,Tofino / Long Beach Airport,Tofino,British Columbia,CA,49.07983,-125.7756
YBA,Banff Airport,Banff,Alberta,CA,51.20734,-115.54186
YBB,Kugaaruk Airport,Kugaaruk,Nunavut,CA,68.5344,-89.8081
YBC,Baie Comeau Airport,Baie-Comeau,Quebec,CA,49.1325,-68.2044
QBC,Bella Coola Airport,Bella Coola,British Columbia,CA,52.3875,-126.596
YBE,Uranium City Airport,Uranium City,Saskatchewan,CA,59.5614,-108.481
YBY,Bonnyville Airport,Bonnyville,Alberta,CA,54.3042,-110.744
YBG,CFB Bagotville,Bagotville,Quebec,CA,48.3306,-70.9964
YBK,Baker Lake Airport,Baker Lake,Nunavut,CA,64.2989,-96.0778
YBL,Campbell River Airport,Campbell River,British Columbia,CA,49.9508,-125.271
XTL,Tadoule Lake Airport,Tadoule Lake,Manitoba,CA,58.7061,-98.5122
YBR,Brandon Municipal Airport,Brandon,Manitoba,CA,49.91,-99.9519
YBT,Brochet Airport,Brochet,Manitoba,CA,57.8894,-101.679
YBV,Berens River Airport,Berens River,Manitoba,CA,52.3589,-97.0183
YBX,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Quebec,CA,51.4436,-57.1853
YRF,Cartwright Airport,Cartwright,Newfoundland and Labrador,CA,53.6828,-57.0419
YCB,Cambridge Bay Airport,Cambridge Bay,Nunavut,CA,69.1081,-105.138
YCC,Cornwall Regional Airport,Cornwall,Quebec,CA,45.0928,-74.5633
YCD,Nanaimo Airport,Nanaimo,British Columbia,CA,49.0523,-123.87
YCE,James T. Field Memorial Aerodrome,Centralia,Ontario,CA,43.2856,-81.5083
YCG,Castlegar Airport,Castlegar,British Columbia,CA,49.2964,-117.632
YCH,Miramichi Airport,Miramichi,New Brunswick,CA,47.0078,-65.4492
XCM,Chatham Kent Airport,Chatham-Kent,Ontario,CA,42.3064,-82.0819
YCL,Charlo Airport,Charlo,New Brunswick,CA,47.9908,-66.3303
YCN,Cochrane Airport,Cochrane,Ontario,CA,49.1056,-81.0136
YCO,Kugluktuk Airport,Kugluktuk,Nunavut,CA,67.8167,-115.144
YCQ,Chetwynd Airport,Chetwynd,British Columbia,CA,55.6872,-121.627
YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,Manitoba,CA,54.6106,-97.7608
YCS,Chesterfield Inlet Airport,Chesterfield Inlet,Nunavut,CA,63.3469,-90.7311
YCT,Coronation Airport,Coronation,Alberta,CA,52.075,-111.445
YCW,Chilliwack Airport,Chilliwack,British Columbia,CA,49.1528,-121.939
YCY,Clyde River Airport,Clyde River,Nunavut,CA,70.4861,-68.5167
YCZ,Fairmont Hot Springs Airport,Fairmont Hot Springs,British Columbia,CA,50.3303,-115.873
YDA,Dawson City Airport,Dawson City,Yukon,CA,64.0431,-139.12801
YDB,Burwash Airport,Burwash,Yukon,CA,61.3711,-139.041
YDF,Deer Lake Airport,Deer Lake,Newfoundland and Labrador,CA,49.2108,-57.3914
YDL,Dease Lake Airport,Dease Lake,British Columbia,CA,58.4222,-130.032
XRR,Ross River Airport,Ross River,Yukon,CA,61.9706,-132.423
YDN,Dauphin Barker Airport,Dauphin,Manitoba,CA,51.1008,-100.052
YDO,Dolbeau St Felicien Airport,Dolbeau-St-Felicien,Quebec,CA,48.7785,-72.375
YDP,Nain Airport,Nain,Newfoundland and Labrador,CA,56.5492,-61.6803
YDQ,Dawson Creek Airport,Dawson Creek,British Columbia,CA,55.7423,-120.183
YEG,Edmonton International Airport,Edmonton,Alberta,CA,53.3097,-113.58
YEK,Arviat Airport,Arviat,Nunavut,CA,61.0942,-94.0708
YEL,Elliot Lake Municipal Airport,Elliot Lake,Ontario,CA,46.3514,-82.5614
YEM,Manitoulin East Municipal Airport,Manitowaning,Ontario,CA,45.8428,-81.8581
YEN,Estevan Airport,Estevan,Saskatchewan,CA,49.2103,-102.966
YER,Fort Severn Airport,Fort Severn,Ontario,CA,56.0189,-87.6761
YET,Edson Airport,Edson,Alberta,CA,53.5789,-116.465
YEU,Eureka Airport,Eureka,Nunavut,CA,79.9947,-85.8142
YEV,Inuvik (Mike Zubko) Airport,Inuvik,Northwest Territories,CA,68.3042,-133.483
YEY,Amos Magny Airport,Amos,Quebec,CA,48.5639,-78.2497
YFA,Fort Albany Airport,Fort Albany,Ontario,CA,52.2014,-81.6969
YFB,Iqaluit Airport,Iqaluit,Nunavut,CA,63.7564,-68.5558
YFC,Fredericton International Airport,Fredericton,New Brunswick,CA,45.8689,-66.5372
YFE,Forestville Airport,Forestville,Quebec,CA,48.7461,-69.0972
YFH,Fort Hope Airport,Fort Hope,Ontario,CA,51.5619,-87.9078
YTM,La Macaza / Mont-Tremblant International Inc Airport,Riviere Rouge,Quebec,CA,46.4094,-74.78
YFO,Flin Flon Airport,Flin Flon,Manitoba,CA,54.6781,-101.682
YFR,Fort Resolution Airport,Fort Resolution,Northwest Territories,CA,61.1808,-113.69
YFS,Fort Simpson Airport,Fort Simpson,Northwest Territories,CA,61.7602,-121.237
YMN,Makkovik Airport,Makkovik,Newfoundland and Labrador,CA,55.0769,-59.1864
YGB,Texada Gillies Bay Airport,Texada,British Columbia,CA,49.6942,-124.518
YGH,Fort Good Hope Airport,Fort Good Hope,Northwest Territories,CA,66.2408,-128.651
YGK,Kingston Airport,Kingston,Ontario,CA,44.2253,-76.5969
YGL,La Grande Riviere Airport,Radisson,Quebec,CA,53.6253,-77.7042
YGM,Gimli Industrial Park Airport,Gimli,Manitoba,CA,50.6281,-97.0433
YGO,Gods Lake Narrows Airport,Gods Lake Narrows,Manitoba,CA,54.5589,-94.4914
YGP,Gaspe (Michel-Pouliot) Airport,Gaspe,Quebec,CA,48.7753,-64.4786
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Ontario,CA,49.7783,-86.9394
YGR,Iles-de-la-Madeleine Airport,Iles-de-la-Madeleine,Quebec,CA,47.4247,-61.7781
YGT,Igloolik Airport,Igloolik,Nunavut,CA,69.3647,-81.8161
YGV,Havre St Pierre Airport,Havre St-Pierre,Quebec,CA,50.2819,-63.6114
